companyname,ticker,gvkey,datadate,calendar_q,revenue,netincome,rnd,capex,leverage,industry
APPLE INC,AAPL,001690,2018-12-31,2018Q4,84310000000.0,19965000000.0,3902000000.0,3355000000.0,3.1700115359820855,45
APPLE INC,AAPL,001690,2019-03-31,2019Q1,58015000000.0,11561000000.0,3948000000.0,5718000000.0,3.2306631399962216,45
APPLE INC,AAPL,001690,2019-06-30,2019Q2,53809000000.0,10044000000.0,4257000000.0,7718000000.0,3.340787509330679,45
APPLE INC,AAPL,001690,2019-09-30,2019Q3,64040000000.0,13686000000.0,4110000000.0,10495000000.0,3.7410043320661304,45
APPLE INC,AAPL,001690,2019-12-31,2019Q4,91819000000.0,22236000000.0,4451000000.0,2107000000.0,3.804469960125543,45
APPLE INC,AAPL,001690,2020-03-31,2020Q1,58313000000.0,11249000000.0,4565000000.0,3960000000.0,4.0854319413452345,45
APPLE INC,AAPL,001690,2020-06-30,2020Q2,59685000000.0,11253000000.0,4758000000.0,5525000000.0,4.390359978971252,45
APPLE INC,AAPL,001690,2020-09-30,2020Q3,64698000000.0,12673000000.0,4978000000.0,7309000000.0,4.957039440456695,45
APPLE INC,AAPL,001690,2020-12-31,2020Q4,111439000000.0,28755000000.0,5163000000.0,3500000000.0,5.346309495047112,45
APPLE INC,AAPL,001690,2021-03-31,2021Q1,89584000000.0,23630000000.0,5262000000.0,5769000000.0,4.873774899534534,45
APPLE INC,AAPL,001690,2021-06-30,2021Q2,81434000000.0,21744000000.0,5717000000.0,7862000000.0,5.131300560049782,45
APPLE INC,AAPL,001690,2021-09-30,2021Q3,83360000000.0,20551000000.0,5772000000.0,11085000000.0,5.563512442542399,45
APPLE INC,AAPL,001690,2021-12-31,2021Q4,123945000000.0,34630000000.0,6306000000.0,2803000000.0,5.299324361897347,45
APPLE INC,AAPL,001690,2022-03-31,2022Q1,97278000000.0,25010000000.0,6387000000.0,5317000000.0,5.2027774892802565,45
APPLE INC,AAPL,001690,2022-06-30,2022Q2,82959000000.0,19442000000.0,6797000000.0,7419000000.0,5.7877536269296295,45
APPLE INC,AAPL,001690,2022-09-30,2022Q3,90146000000.0,20721000000.0,6761000000.0,10708000000.0,6.961536943479634,45
APPLE INC,AAPL,001690,2022-12-31,2022Q4,117154000000.0,29998000000.0,7709000000.0,3787000000.0,6.1125566308812385,45
APPLE INC,AAPL,001690,2023-03-31,2023Q1,94836000000.0,24160000000.0,7457000000.0,6703000000.0,5.343801280607484,45
APPLE INC,AAPL,001690,2023-06-30,2023Q2,81797000000.0,19881000000.0,7442000000.0,8796000000.0,5.558582473371603,45
APPLE INC,AAPL,001690,2023-09-30,2023Q3,89498000000.0,22956000000.0,7307000000.0,10959000000.0,5.673462491552152,45
APPLE INC,AAPL,001690,2023-12-31,2023Q4,119575000000.0,33916000000.0,7696000000.0,2392000000.0,4.770769230769231,45
ABBVIE INC,ABBV,016101,2016-03-31,2016Q1,5958000000.0,1354000000.0,956000000.0,121000000.0,11.570105535214301,35
ABBVIE INC,ABBV,016101,2016-06-30,2016Q2,6452000000.0,1610000000.0,1194000000.0,252000000.0,11.916843971631206,35
ABBVIE INC,ABBV,016101,2016-09-30,2016Q3,6432000000.0,1598000000.0,1186000000.0,365000000.0,10.299273458030607,35
ABBVIE INC,ABBV,016101,2016-12-31,2016Q4,6796000000.0,1391000000.0,1230000000.0,479000000.0,14.257765314926662,35
ABBVIE INC,ABBV,016101,2017-03-31,2017Q1,6538000000.0,1711000000.0,1142000000.0,95000000.0,13.138055222088836,35
ABBVIE INC,ABBV,016101,2017-06-30,2017Q2,6944000000.0,1915000000.0,1244000000.0,221000000.0,11.148943251788983,35
ABBVIE INC,ABBV,016101,2017-09-30,2017Q3,6995000000.0,1631000000.0,1228000000.0,347000000.0,10.294601465530134,35
ABBVIE INC,ABBV,016101,2017-12-31,2017Q4,7739000000.0,52000000.0,1720000000.0,529000000.0,13.887777123798312,35
ABBVIE INC,ABBV,016101,2018-03-31,2018Q1,7934000000.0,2783000000.0,1313000000.0,119000000.0,19.516464959189417,35
ABBVIE INC,ABBV,016101,2018-06-30,2018Q2,8278000000.0,1983000000.0,1322000000.0,233000000.0,-18.264,35
ABBVIE INC,ABBV,016101,2018-09-30,2018Q3,8236000000.0,2747000000.0,1323000000.0,515000000.0,-22.651146867511127,35
ABBVIE INC,ABBV,016101,2018-12-31,2018Q4,8305000000.0,-1826000000.0,6795000000.0,638000000.0,-7.027231825716315,35
ABBVIE INC,ABBV,016101,2019-03-31,2019Q1,7828000000.0,2456000000.0,1444000000.0,107000000.0,-7.253897265525173,35
ABBVIE INC,ABBV,016101,2019-06-30,2019Q2,8255000000.0,741000000.0,1382000000.0,235000000.0,-6.670791501284147,35
ABBVIE INC,ABBV,016101,2019-09-30,2019Q3,8479000000.0,1884000000.0,2285000000.0,389000000.0,-7.225990761001702,35
ABBVIE INC,ABBV,016101,2019-12-31,2019Q4,8704000000.0,2801000000.0,1681000000.0,552000000.0,-10.904919236417033,35
ABBVIE INC,ABBV,016101,2020-03-31,2020Q1,8619000000.0,3010000000.0,1379000000.0,125000000.0,-12.29925826028321,35
ABBVIE INC,ABBV,016101,2020-06-30,2020Q2,10425000000.0,-738000000.0,2435000000.0,302000000.0,10.15001357588922,35
ABBVIE INC,ABBV,016101,2020-09-30,2020Q3,12882000000.0,2308000000.0,1751000000.0,519000000.0,9.786186146903002,35
ABBVIE INC,ABBV,016101,2020-12-31,2020Q4,13858000000.0,36000000.0,2190000000.0,798000000.0,11.496144155150034,35
ABBVIE INC,ABBV,016101,2021-03-31,2021Q1,13010000000.0,3553000000.0,1852000000.0,188000000.0,10.959076676618364,35
ABBVIE INC,ABBV,016101,2021-06-30,2021Q2,13959000000.0,766000000.0,1899000000.0,383000000.0,11.749404478323012,35
ABBVIE INC,ABBV,016101,2021-09-30,2021Q3,14342000000.0,3179000000.0,2063000000.0,600000000.0,10.963983206894012,35
ABBVIE INC,ABBV,016101,2021-12-31,2021Q4,14886000000.0,4044000000.0,2232000000.0,787000000.0,9.49267945063488,35
ABBVIE INC,ABBV,016101,2022-03-31,2022Q1,13538000000.0,4490000000.0,1642000000.0,162000000.0,8.778411180581095,35
ABBVIE INC,ABBV,016101,2022-06-30,2022Q2,14583000000.0,924000000.0,1878000000.0,305000000.0,9.748502178649238,35
ABBVIE INC,ABBV,016101,2022-09-30,2022Q3,14812000000.0,3949000000.0,1654000000.0,482000000.0,8.817932239346103,35
ABBVIE INC,ABBV,016101,2022-12-31,2022Q4,15121000000.0,2473000000.0,2033000000.0,695000000.0,8.029444090935385,35
ABBVIE INC,ABBV,016101,2023-03-31,2023Q1,12225000000.0,239000000.0,3072000000.0,175000000.0,10.113808915282267,35
ABBVIE INC,ABBV,016101,2023-06-30,2023Q2,13865000000.0,2024000000.0,2013000000.0,353000000.0,10.49519305318654,35
ABBVIE INC,ABBV,016101,2023-09-30,2023Q3,13927000000.0,1778000000.0,1789000000.0,572000000.0,11.231016571852585,35
ABBVIE INC,ABBV,016101,2023-12-31,2023Q4,14301000000.0,822000000.0,2209000000.0,777000000.0,12.95671828412042,35
AIRBNB INC,ABNB,037460,2018-03-31,2018Q1,642840000.0,-146230000.0,122893000.0,,,25
AIRBNB INC,ABNB,037460,2018-06-30,2018Q2,903431000.0,10214000.0,154397000.0,,,25
AIRBNB INC,ABNB,037460,2018-09-30,2018Q3,1265127000.0,337896000.0,141978000.0,,,25
AIRBNB INC,ABNB,037460,2018-12-31,2018Q4,840587000.0,-218740000.0,159925000.0,90624000.0,2.436483538022706,25
AIRBNB INC,ABNB,037460,2019-03-31,2019Q1,839004000.0,-292027000.0,185101000.0,,,25
AIRBNB INC,ABNB,037460,2019-06-30,2019Q2,1213678000.0,-297424000.0,232327000.0,,,25
AIRBNB INC,ABNB,037460,2019-09-30,2019Q3,1645761000.0,266649999.99999997,276368000.0,,,25
AIRBNB INC,ABNB,037460,2019-12-31,2019Q4,1106796000.0,-351538000.0,282899000.0,125452000.0,3.4285257509127134,25
AIRBNB INC,ABNB,037460,2020-03-31,2020Q1,841830000.0,-340605000.0,258819000.00000003,,,25
AIRBNB INC,ABNB,037460,2020-06-30,2020Q2,334774000.0,-575588000.0,217938000.0,,,25
AIRBNB INC,ABNB,037460,2020-09-30,2020Q3,1342331000.0,219328000.0,213920000.0,29489000.0,4.704826602587944,25
AIRBNB INC,ABNB,037460,2020-12-31,2020Q4,859264000.0,-3887851000.0,2062195000.0000002,37371000.0,3.615535344993061,25
AIRBNB INC,ABNB,037460,2021-03-31,2021Q1,886936000.0,-1172211000.0,363061000.0,7706000.0,3.9054843241946395,25
AIRBNB INC,ABNB,037460,2021-06-30,2021Q2,1335196000.0,-68217000.0,349734000.0,15358000.0,4.563481503158816,25
AIRBNB INC,ABNB,037460,2021-09-30,2021Q3,2237432000.0,833893000.0,344410000.0,20864000.0,3.0528668215801806,25
AIRBNB INC,ABNB,037460,2021-12-31,2021Q4,1532196000.0,54501000.0,367843000.0,25322000.0,2.8704559926444495,25
AIRBNB INC,ABNB,037460,2022-03-31,2022Q1,1508937000.0,-18792000.0,362927000.0,5959000.0,3.60290124405372,25
AIRBNB INC,ABNB,037460,2022-06-30,2022Q2,2104107000.0,378841000.0,375050000.0,11007000.0,3.633753127964119,25
AIRBNB INC,ABNB,037460,2022-09-30,2022Q3,2884410000.0,1214288000.0,366182000.0,16606000.000000002,2.9018403158334016,25
AIRBNB INC,ABNB,037460,2022-12-31,2022Q4,1901546000.0,318663000.0,397841000.0,25000000.0,2.8845323741007194,25
AIRBNB INC,ABNB,037460,2023-03-31,2023Q1,1818000000.0,117000000.0,420000000.0,6000000.0,3.7834057834057835,25
AIRBNB INC,ABNB,037460,2023-06-30,2023Q2,2484000000.0,650000000.0,451000000.0,15000000.0,4.18817948211109,25
AIRBNB INC,ABNB,037460,2023-09-30,2023Q3,3397000000.0,4374000000.0,419000000.0,30000000.0,2.3499945193467062,25
AIRBNB INC,ABNB,037460,2023-12-31,2023Q4,2218000000.0,-349000000.0,432000000.0,0.0,2.528475199020208,25
ABBOTT LABORATORIES,ABT,001078,2016-03-31,2016Q1,4885000000.0,316000000.0,379000000.0,243000000.0,1.9017848574992804,35
ABBOTT LABORATORIES,ABT,001078,2016-06-30,2016Q2,5333000000.0,615000000.0,348000000.0,490000000.0,1.9154123587400818,35
ABBOTT LABORATORIES,ABT,001078,2016-09-30,2016Q3,5302000000.0,-329000000.0,352000000.0,802000000.0,1.8901703675344563,35
ABBOTT LABORATORIES,ABT,001078,2016-12-31,2016Q4,5333000000.0,798000000.0,343000000.0,1121000000.0,2.542163440652604,35
ABBOTT LABORATORIES,ABT,001078,2017-03-31,2017Q1,6335000000.0,419000000.0,553000000.0,272000000.0,2.2470282435730815,35
ABBOTT LABORATORIES,ABT,001078,2017-06-30,2017Q2,6637000000.0,283000000.0,520000000.0,527000000.0,2.2382974707436767,35
ABBOTT LABORATORIES,ABT,001078,2017-09-30,2017Q3,6829000000.0,603000000.0,568000000.0,790000000.0,2.242473151654355,35
ABBOTT LABORATORIES,ABT,001078,2017-12-31,2017Q4,7589000000.0,-828000000.0,619000000.0,1135000000.0,2.451926168885459,35
ABBOTT LABORATORIES,ABT,001078,2018-03-31,2018Q1,7390000000.0,418000000.0,589000000.0,275000000.0,2.243853042625233,35
ABBOTT LABORATORIES,ABT,001078,2018-06-30,2018Q2,7767000000.0,733000000.0,575000000.0,573000000.0,2.2231429128485085,35
ABBOTT LABORATORIES,ABT,001078,2018-09-30,2018Q3,7656000000.0,563000000.0,574000000.0,927000000.0,2.3184995792607936,35
ABBOTT LABORATORIES,ABT,001078,2018-12-31,2018Q4,7765000000.0,654000000.0,562000000.0,1394000000.0,2.1864787448733805,35
ABBOTT LABORATORIES,ABT,001078,2019-03-31,2019Q1,7535000000.0,672000000.0,672000000.0,335000000.0,2.171929711844261,35
ABBOTT LABORATORIES,ABT,001078,2019-06-30,2019Q2,7979000000.0,1006000000.0,577000000.0,803000000.0,2.145450554963316,35
ABBOTT LABORATORIES,ABT,001078,2019-09-30,2019Q3,8076000000.0,960000000.0,596000000.0,1204000000.0,2.14057278490896,35
ABBOTT LABORATORIES,ABT,001078,2019-12-31,2019Q4,8314000000.0,1049000000.0,595000000.0,1638000000.0,2.1688444458643494,35
ABBOTT LABORATORIES,ABT,001078,2020-03-31,2020Q1,7726000000.0,564000000.0,578000000.0,360000000.0,2.1946626351595624,35
ABBOTT LABORATORIES,ABT,001078,2020-06-30,2020Q2,7328000000.0,537000000.0,564000000.0,1002000000.0,2.2331320215598414,35
ABBOTT LABORATORIES,ABT,001078,2020-09-30,2020Q3,8853000000.0,1232000000.0,580000000.0,1498000000.0,2.1852508308276626,35
ABBOTT LABORATORIES,ABT,001078,2020-12-31,2020Q4,10701000000.0,2162000000.0,698000000.0,2177000000.0,2.198224403842075,35
ABBOTT LABORATORIES,ABT,001078,2021-03-31,2021Q1,10456000000.0,1793000000.0,654000000.0,397000000.0,2.1541671599384395,35
ABBOTT LABORATORIES,ABT,001078,2021-06-30,2021Q2,10223000000.0,1189000000.0,654000000.0,810000000.0,2.1531340915101826,35
ABBOTT LABORATORIES,ABT,001078,2021-09-30,2021Q3,10928000000.0,2100000000.0,672000000.0,1271000000.0,2.1304636526358336,35
ABBOTT LABORATORIES,ABT,001078,2021-12-31,2021Q4,11468000000.0,1989000000.0,762000000.0,1885000000.0,2.0873861869864534,35
ABBOTT LABORATORIES,ABT,001078,2022-03-31,2022Q1,11895000000.0,2447000000.0,697000000.0,321000000.0,2.0771562491229054,35
ABBOTT LABORATORIES,ABT,001078,2022-06-30,2022Q2,11257000000.0,2018000000.0,684000000.0,700000000.0,2.020971783418673,35
ABBOTT LABORATORIES,ABT,001078,2022-09-30,2022Q3,10410000000.0,1435000000.0,782000000.0,1167000000.0,2.0287872032103444,35
ABBOTT LABORATORIES,ABT,001078,2022-12-31,2022Q4,10091000000.0,1033000000.0,725000000.0,1777000000.0,2.017016664408617,35
ABBOTT LABORATORIES,ABT,001078,2023-03-31,2023Q1,9747000000.0,1318000000.0,654000000.0,380000000.0,1.982004727116459,35
ABBOTT LABORATORIES,ABT,001078,2023-06-30,2023Q2,9978000000.0,1375000000.0,715000000.0,887000000.0,1.961127152176238,35
ABBOTT LABORATORIES,ABT,001078,2023-09-30,2023Q3,10143000000.0,1436000000.0,672000000.0,1447000000.0,1.912505969119754,35
ABBOTT LABORATORIES,ABT,001078,2023-12-31,2023Q4,10241000000.0,1594000000.0,700000000.0,2202000000.0,1.8856465861385119,35
ARCH CAPITAL GROUP LTD,ACGL,061302,2016-03-31,2016Q1,1085219000.0,154798000.0,,3952000.0,3.423500335216479,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2016-06-30,2016Q2,1193338000.0,211055000.0,,8284000.000000001,3.2581756636726995,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2016-09-30,2016Q3,1185634000.0,252872000.0,,11565000.0,3.1321392233908587,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2016-12-31,2016Q4,977802000.0,74013000.0,,15303000.0,3.225729146944311,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2017-03-31,2017Q1,1274734000.0,253127000.0,,5194000.0,3.176285698905323,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2017-06-30,2017Q2,1378272000.0,185167000.0,,11103000.0,3.15686949608867,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2017-09-30,2017Q3,1450466000.0,-33656000.0,,16862000.0,3.33858542564594,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2017-12-31,2017Q4,1392454000.0,214640000.0,,22841000.0,3.1923920815640376,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2018-03-31,2018Q1,1257339000.0,150423000.0,,4240000.0,3.2117553489015527,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2018-06-30,2018Q2,1403818000.0,243646000.0,,13242000.0,3.1773977377149,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2018-09-30,2018Q3,1389513000.0,227408000.0,,19050000.0,3.152154311094848,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2018-12-31,2018Q4,1359926000.0,136494000.0,,29809000.0,3.148969831753994,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2019-03-31,2019Q1,1676887000.0,448528000.0,,9423000.0,3.102167351415549,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2019-06-30,2019Q2,1747027000.0,468954000.0,,16359000.000000002,3.001168806665875,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2019-09-30,2019Q3,1665609000.0,392453000.0,,27635000.0,2.9611707131096097,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2019-12-31,2019Q4,1716483000.0,326384000.0,,37837000.0,3.0901226477853285,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2020-03-31,2020Q1,1529521000.0,144117000.0,,8470000.0,3.239125806522058,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2020-06-30,2020Q2,2360127000.0,298821000.0,,17687000.0,3.251513505655551,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2020-09-30,2020Q3,2185516000.0,419039000.0,,26717000.0,3.233633867646557,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2020-12-31,2020Q4,2286724000.0,543544000.0,,39872000.0,3.1073752235730434,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2021-03-31,2021Q1,2194108000.0,438156000.0,,12490000.0,3.1634727025815454,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2021-06-30,2021Q2,2447810000.0,675486000.0,,23585000.0,3.1185544717840643,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2021-09-30,2021Q3,2028806000.0,419942000.0,,34407000.0,3.345183867430024,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2021-12-31,2021Q4,2245954000.0,623265000.0,,41394000.0,3.3294914563052895,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2022-03-31,2022Q1,1905527000.0,195800000.0,,11770000.0,3.535556819957663,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2022-06-30,2022Q2,2156781000.0,404344000.0,,23830000.0,3.681816066047082,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2022-09-30,2022Q3,2405110000.0,17101000.0,,38383000.0,3.928501217877578,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2022-12-31,2022Q4,3031534000.0,859688000.0,,51672000.0,3.71729168378831,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2023-03-31,2023Q1,3120000000.0,715000000.0,,11000000.0,3.653345724907063,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2023-06-30,2023Q2,3093000000.0,671000000.0,,26000000.0,3.6784372652141246,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2023-09-30,2023Q3,3270000000.0,723000000.0,,37000000.0,3.6240566966336374,40
ARCH CAPITAL GROUP LTD,ACGL,061302,2023-12-31,2023Q4,3873000000.0,2334000000.0,,52000000.0,3.209611507655424,40
ACCENTURE PLC,ACN,143357,2016-02-29,2016Q1,8397053000.0,1326520000.0,,242845000.0,2.461210906709906,45
ACCENTURE PLC,ACN,143357,2016-05-31,2016Q2,8969044000.0,897247000.0,,336500000.0,2.490222872519742,45
ACCENTURE PLC,ACN,143357,2016-08-31,2016Q3,8965580000.0,1069226000.0000001,643407000.0,496566000.0,2.5165536421822616,45
ACCENTURE PLC,ACN,143357,2016-11-30,2016Q4,9005603000.0,1004476000.0,,84553000.0,2.5446050242272023,45
ACCENTURE PLC,ACN,143357,2017-02-28,2017Q1,8762182000.0,838752000.0,,188962000.0,2.3306356047933705,45
ACCENTURE PLC,ACN,143357,2017-05-31,2017Q2,9356787000.0,669468000.0,,324773000.0,2.3810298017497575,45
ACCENTURE PLC,ACN,143357,2017-08-31,2017Q3,9640906000.0,932453000.0,704317000.0,515919000.0,2.3367067619616484,45
ACCENTURE PLC,ACN,143357,2017-11-30,2017Q4,9884313000.0,1123660000.0,,133352000.0,2.3221609436639663,45
ACCENTURE PLC,ACN,143357,2018-02-28,2018Q1,9909238000.0,863703000.0,,266248000.0,2.2161367049016776,45
ACCENTURE PLC,ACN,143357,2018-05-31,2018Q2,10694996000.0,1043020000.0,,439804000.0,2.290101210156553,45
ACCENTURE PLC,ACN,143357,2018-08-31,2018Q3,10503987000.0,1029523999.9999999,,619187000.0,2.2797223539030123,45
ACCENTURE PLC,ACN,143357,2018-11-30,2018Q4,10605546000.0,1274720000.0,,77691000.0,2.045595565049334,45
ACCENTURE PLC,ACN,143357,2019-02-28,2019Q1,10454129000.0,1124449000.0,,217488000.0,1.9951282528483534,45
ACCENTURE PLC,ACN,143357,2019-05-31,2019Q2,11099688000.0,1249516000.0,,357749000.0,1.9908395400735828,45
ACCENTURE PLC,ACN,143357,2019-08-31,2019Q3,11055650000.0,1130427000.0,799734000.0,599009000.0,2.0090707312419713,45
ACCENTURE PLC,ACN,143357,2019-11-30,2019Q4,11358958000.0,1356968000.0,,95063000.0,2.1261630509637457,45
ACCENTURE PLC,ACN,143357,2020-02-29,2020Q1,11141505000.0,1234740000.0,,260433000.0,2.1043802681849146,45
ACCENTURE PLC,ACN,143357,2020-05-31,2020Q2,10991305000.0,1228202000.0,,410414000.0,2.126794104095302,45
ACCENTURE PLC,ACN,143357,2020-08-31,2020Q3,10835271000.0,1287929000.0,870611000.0,599132000.0,2.118876874924318,45
ACCENTURE PLC,ACN,143357,2020-11-30,2020Q4,11762185000.0,1500276000.0,,93115000.0,2.0768404646944334,45
ACCENTURE PLC,ACN,143357,2021-02-28,2021Q1,12088125000.0,1440859000.0,,185625000.0,2.122093985026451,45
